cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0
11	2	4462	0	0.00663231	0.0107314	0.999978	0.999942	-3.55869e-05	-0.0173637
11	2	6500	0	0.0107314	0.0241153	0.999942	0.999709	-0.000233166	-0.0133839
11	2	8091	0	0.0241153	0.00651864	0.999709	0.999979	0.000269564	0.030634
11	2	43250	0	0.00651864	0.0184643	0.999979	0.99983	-0.000149208	0.0119457
11	2	66708	0	0.0184643	0.00484361	0.99983	0.999988	0.000158748	-0.0233079
11	2	69318	0	0.00484361	0.00440169	0.999988	0.99999	2.04284e-06	0.00924529
11	2	76225	0	0.00440169	0.010439	0.99999	0.999946	-4.47981e-05	-0.0148407
11	2	85007	0	0.010439	0.0032398	0.999946	0.999995	4.92396e-05	0.00719921
11	2	88402	0	0.0032398	0.0222281	0.999995	0.999753	-0.000241768	-0.0189883
11	2	89228	0	0.0222281	0.0258247	0.999753	0.999667	-8.64099e-05	0.0480529
11	2	97323	0	0.0258247	0.000209024	0.999667	1	0.000333492	-0.0260338
12	1	1320	0	0.0193916	0.0203091	0.999812	0.999794	-1.82126e-05	0.000917502
12	1	2383	0	0.0203091	0.01311	0.999794	0.999914	0.0001203	-0.00719907
12	1	2879	0	0.01311	0.0102324	0.999914	0.999948	3.35855e-05	-0.0233424
12	1	7329	0	0.0102324	0.027362	0.999948	0.999626	-0.000321937	-0.0171296
12	1	15781	0	0.027362	0.00350903	0.999626	0.999994	0.000368251	0.030871
12	1	38506	0	0.00350903	0.0197019	0.999994	0.999806	-0.000187909	-0.023211
12	1	42785	0	0.0197019	0.0224748	0.999806	0.999747	-5.84744e-05	-0.0027729
12	1	57098	0	0.0224748	0.0310635	0.999747	0.999518	-0.000229886	-0.00858868
12	1	63610	0	0.0310635	0.00628845	0.999518	0.99998	0.000462806	0.0247751
12	1	75396	0	0.00628845	0.00157524	0.99998	0.999999	1.85318e-05	0.00471321
12	1	80303	0	0.00157524	0.013413	0.999999	0.99991	-8.87098e-05	-0.0118378
12	1	85385	0	0.013413	0.021253	0.99991	0.999774	-0.000135881	0.034666
12	2	6503	0	0.000209024	0.0138834	1	0.999904	-9.6348e-05	0.0140924
12	2	17020	0	0.0138834	0.0323174	0.999904	0.999478	-0.000425741	-0.0462008
12	2	33902	0	0.0323174	0.00998939	0.999478	0.99995	0.000472424	0.0423068
12	2	34651	0	0.00998939	0.00391838	0.99995	0.999992	4.2218e-05	-0.0139078
12	2	41917	0	0.00391838	0.0234478	0.999992	0.999725	-0.000267187	-0.0195294
12	2	44751	0	0.0234478	0.019406	0.999725	0.999812	8.66067e-05	0.00404178
12	2	88102	0	0.019406	0.0258961	0.999812	0.999665	-0.000146997	-0.0064901
12	2	89261	0	0.0258961	0.00728093	0.999665	0.999973	0.000308846	0.0331771
13	1	20746	0	0.021253	0.00913474	0.999774	0.999958	0.00018414	-0.0121182
13	1	37989	0	0.00913474	0.0132514	0.999958	0.999912	-4.60766e-05	0.00411663
13	1	48393	0	0.0132514	0.00862399	0.999912	0.999963	5.06141e-05	-0.00462739
13	1	70154	0	0.00862399	0.00604386	0.999963	0.999982	1.89227e-05	-0.00258013
13	1	71687	0	0.00604386	0.0149624	0.999982	0.999888	-9.36682e-05	-0.0210063
13	1	80066	0	0.0149624	0.00234823	0.999888	0.999997	0.000109186	0.0126142
13	1	96562	0	0.00234823	0.00774395	0.999997	0.99997	-2.72269e-05	0.0100922
13	2	3396	0	0.00728093	0.00828875	0.999973	0.999966	-7.84569e-06	0.00100782
13	2	7520	0	0.00828875	0.00396756	0.999966	0.999992	2.64813e-05	-0.00432119
13	2	19416	0	0.00396756	0.0388922	0.999992	0.999244	-0.000748152	0.0349247
13	2	19453	0	0.0388922	0.00515677	0.999244	0.999987	0.000743283	-0.0337355
13	2	40916	0	0.00515677	0.0118861	0.999987	0.999929	-5.73423e-05	-0.0170429
13	2	42393	0	0.0118861	0.000862717	0.999929	1	7.02704e-05	0.0127488
13	2	47690	0	0.000862717	6.61387e-05	1	1	3.69953e-07	-0.000796578
13	2	52545	0	6.61387e-05	0.0134594	1	0.999909	-9.05712e-05	0.0133932
13	2	64954	0	0.0134594	0.00296353	0.999909	0.999996	8.61899e-05	-0.0164229
13	2	86490	0	0.00296353	0.00681262	0.999996	0.999977	-1.88145e-05	-0.00384909
14	1	4364	0	0.00774395	0.0131761	0.99997	0.999913	-5.68187e-05	-0.02092
